,statement,source,veracity
8941,"Says ""the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner.""",Rod Monroe,0
8942,"Because of the new health care law, ""Americans no longer will see their coverage dropped or capped when illness strikes.""",Barack Obama,1
8943,"By the time Obama took office, ""The Bush administration had given the car companies $13 billion and the money was now gone.""",Barack Obama,1
8946,"An independent payment advisory board created by the health care reform law ""can ration care and deny certain Medicare treatments.""",Pat Boone,0
8947,"""We also have, in a park that’s not far from here, an ability to build a reservoir that can hold a 30-day water supply for the city of Atlanta.""",Kasim Reed,1
8949,"Says there have been ""well over"" 54 million abortions since 1973.",Chris Smith,1
8950,"""More than 27,000 Rhode Island jobs depend on trade with Canada.""",Barry Hinckley,1
8951,"Because of the new health care law, ""17 million kids can no longer be denied for a pre-existing condition.""",Barack Obama,0
8952,"Because of the new health care law, ""2.5 million young adults now have coverage.""",Barack Obama,1
8954,"""In 1950, the average American lived for 68 years and 16 workers supported one retiree. Today, the average life expectancy is 78 and three workers support one retiree.""",Frank Wolf,1
8955,"Says David Rivera ""allowed House Republican leaders to strip key provisions from the STOCK Act"" that would crack down on insider trading by members of Congress.",Luis Garcia,0
8956,"Says David Rivera ""received a $5,000 campaign contribution from Congressman Spencer Bachus, who is currently under House Ethics investigation for insider trading.""",Luis Garcia,1
8957,"""In Texas, there are 668 Democratic Hispanic elected officials to the 60 in the Republican Party.""",Texas Democratic Party,1
8958,"""This (Independent Payment Advisory Board) board can ration care and deny certain Medicare treatments so Washington can fund more wasteful spending.""",Pat Boone,0
8959,"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker.",Democratic Party of Wisconsin,0
8960,"The Wisconsin state Assembly chambers extend to the bathroom and the parlor, and rules allow members to vote for each other if the member is in the chambers.",Joel Kleefisch,1
8963,"""There are a lot of casinos across the country that have gone bankrupt.""",Robert Jacquard,1
8964,"Obama's secretary of energy, Dr. Steven Chu, ""has said publicly he wants us to pay European levels (for gasoline), and that would be $9 or $10 a gallon.""",Newt Gingrich,1
8965,Says Gov. Scott Walker cut aid to local schools despite campaigning on trying to restore two-thirds state funding for education,Kathleen Falk,1
8966,"There are ""850,000 Ohio jobs tied to the auto industry.""",Ohio Democratic Party,1
8967,"The ""Democrat majority in the Senate has failed to submit [a] budget in the past 1,000 days.""",Johnny Isakson,0
8968,"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""",Chris Telfer,0
8969,Says there are four super PACs on the Republican side of the Texas U.S. Senate race.,Paul Sadler,1
8970,"President Barack Obama’s policies have forced ""many parts of the country to experience rolling blackouts.""",Rick Santorum,0
8971,"""Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.""",Kathleen Clyde,1
8972,"""In the last two years, super PACs raised more than $180 million -- with roughly half of it coming from fewer than 200 super-rich people and roughly 20 percent from corporations.""",Hank Johnson,1
8973,"""It costs about $40,000 a year for a homeless person to be on the streets.""",Shaun  Donovan,1
8974,"Says Wisconsin Assembly Republicans voted to repeal a law that ensures ""that women cannot get paid less than a man for doing the same job.""",Cory Mason,0
8975,"""A clear majority of Americans support removing the cost-sharing requirement for prescription contraceptive coverage.""",Rush Holt,1
8976,"Georgia ranks ""last in job growth.""",Ted Jackson,1
8979,"""They're paying a less rate of tax -- these richest people in America -- than they have in the last 80 years.""",Steve Rothman,1
8980,"""A hundred percent of all the jobs lost during the recession have been reclaimed in Texas … while the nation is at about 36 percent.""",Rick Perry,1
8981,Giant companies like Toyota will not locate in a state that has not passed a right-to-work law,Stephen Laffey,0
8984,"Says he ""cut taxes by more than $600 million"" when he was governor.",George Allen,1
8985,"""If we keep the minimum wage at the current level, then single-parent families earning the minimum wage at a full-time job will live in poverty in New Jersey.""",Wayne DeAngelo,1
8986,"A socially conservative group sponsored a ""prayer vigil"" to stop people from buying Girl Scout cookies because it thinks the Girl Scouts are affiliated with Planned Parenthood.",Hank Johnson,0
8987,"Says Barack Obama ""promised"" gasoline at $2.50 a gallon.",Lenny Curry,0
8988,"Says Barack Obama ""promised he would cut the deficit in half"" but didn’t.",Lenny Curry,1
8989,"""The fact is 90-percent of Down Syndrome children were aborted in this country.""",Mike DeWine,0
8990,"After President Barack Obama’s health care law takes full effect, ""100 percent"" of Americans will ""depend on some form of federal payment, some form of government benefit to help provide for them.""",Rick Santorum,0
8991,"""A little less than 50 percent of the people in this country depend on some form of federal payment, some form of government benefit to help provide for them.""",Rick Santorum,1
8992,"Says Obama has ""doubled the stock market from where we started when he was sworn into office""",Gerry Connolly,0
8994,"Says the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office.""",Chris Christie,1
8995,"""Today, you can't rely on (the retirement fund for public employees), it's not funded.""",Rick Scott,0
8996,"""Tonight in Ohio, more people came out to vote for Barack Obama in an unopposed race than voted for (Mitt) Romney and (Rick) Santorum combined.""",David Axelrod,0
8997,"Ronald Reagan’s philosophy of ""peace through strength"" is why ""the Iranians released the hostages on the same day and at the same hour that Reagan was sworn in.""",Mitt Romney,0
8998,"""If you look up the dictionary definition of happiness at the time of our founders … happiness was not doing what you want to do but doing what you ought to do.""",Rick Santorum,0
9000,"Says pension contributions under Gov. Chris Christie would represent ""75 percent of the total contribution made between the years 1995 and 2010. That's right, in 15 years, total state contribution was only $2.1 billion.""",Gary Chiusano,0
9001,"""Fifty percent of the graduating class of the year 2012 will have smoked marijuana or have done illegal drugs.""",Gary Johnson,1
9003,"""Rhode Island is the only state where officers at state-supported [colleges] carry out their duties unarmed.""",Glenford Shibley,1
9004,"""Between 1982 and 2007 the cost of a college education increased 439 percent.""",Ron Wyden,1
9005,"""When my grandfather came to this country back in 1925, there were no government benefits.""",Rick Santorum,0
9006,"Connie Mack's ""only real job in the real world"" was as ""‘events coordinator’ for Hooters!""",George LeMieux,0
9007,"""The top 1 percent (of income earners) paid 36.7 percent (of the taxes).  ... The top 50 percent pay 97.7 percent.""",Jim Renacci,1
9008,"The Atlanta area’s water planning district ""is now the national leader in conservation.""",Pat Stevens,0
9009,"Says in the 2012 State of the Union address, President Obama ""didn't even mention the deficit or debt.""",Mitt Romney,0
9010,"Wisconsin is called the Badger State because ""our ancestors came here with the hopes of living the American dream by mining.""",Scott Walker,1
9011,"Says State Comptroller Matthew Boxer ""pointed out that many towns are artificially lowering the real estate values that they report to Trenton"" in order to ""get hundreds of millions of dollars of additional school aid. This is the kind of fraud that needs to be addressed immediately.""",Michael Doherty,0
9012,"President Obama's ""budget would call for about $25 trillion in debt by the end of his term, if he was re-elected.""",Bob McDonnell,0
9013,"""[E]mployment in Gwinnett is up more than 3 percent over last year, and unemployment is the lowest of the five core metro counties.""",Charlotte Nash,1
9015,"""When (Marcy) Kaptur fought for the Democrats' prescription drug benefit for seniors, (Dennis) Kucinich voted no.""",Marcy Kaptur,0
9017,"Pasco County schools have graduation rates ""substantially higher than the state average"" and dropout rates ""below the state average.""",Heather Fiorentino,1
9018,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said ""he didn’t believe women belonged in the workplace"" but belonged ""at home, cooking and cleaning and having babies.""",Christine Sinicki,0
